,markername,incre_new,Coordinate_Value,Primary_Bin,Chromosome,meanQTL_ID,vQTL_ID
868,mmp183,1835.7,694.6,2.1,2,,
869,gpm926i,1840.56,699.46,2.1,2,,
870,bnl17.14,1843.6,702.5,2.1,2,,
871,lim104,1847.6,706.5,2.1,2,,
872,chr106b,1849.2,708.1,2.1,2,,
873,nfa103b,1849.21,708.1,2.1,2,,
874,ufg55,1852.11,711,2.1,2,,
875,AY109586,1854.21,713.1,2.1,2,,
876,umc1696,1857.41,716.3,2.1,2,,
877,AY106674,1866.13,725.02,2.1,2,,
878,AY111236,1866.41,725.3,2.1,2,,
879,gpm257n,1870,0,3,3,,q13
880,IDP125,1870.7,0.7,3,3,,q13
881,gpm916d,1870.9,0.9,3,3,,q13
882,umc2118,1871,1,3,3,,q13
883,umc1931,1875.6,5.6,3,3,,q13
884,umc1746,1877.1,7.1,3,3,,q13
885,gpm257s,1878.5,8.5,3,3,,q13
886,umc1780,1881.2,11.2,3,3,,q13
887,AY106313,1881.4,11.4,3.01,3,,
888,bnl8.15,1881.41,11.4,3.01,3,,
889,IDP703,1883.43,13.42,3.01,3,,
890,IDP394,1890.52,20.51,3.01,3,,
891,umc1394,1891.81,21.8,3.01,3,,
892,umc1970,1898.21,28.2,3.01,3,,
893,IDP3785,1898.48,28.47,3.01,3,,
894,umc2071,1899.21,29.2,3.01,3,,
895,asg64,1899.61,29.6,3.01,3,,
896,mmp158a,1901.81,31.8,3.01,3,,
897,AY112199,1904.79,34.78,3.01,3,,
898,umc1892,1905.51,35.5,3.01,3,,
899,php20905,1907.21,37.2,3.01,3,,
900,umc2049,1908.71,38.7,3.01,3,,
901,mmp38,1912.61,42.6,3.01,3,,
902,gpm668e,1912.81,42.8,3.01,3,,
903,umc121,1924.31,54.3,3.01,3,,
904,gpm713,1926.77,56.76,3.01,3,,
905,asg30c,1928.01,58,3.01,3,,
906,csu32a,1930.01,60,3.02,3,,
907,umc1458,1937.21,67.2,3.02,3,,
908,gpm770,1938.67,68.66,3.02,3,,
909,gpm336b,1938.92,68.91,3.02,3,q14,
910,IDP3906,1942.08,72.07,3.02,3,q14,
911,bnlg1325,1943.28,73.27,3.02,3,q14,
912,bnlg1144,1947.01,77,3.02,3,q14,
913,gpm783,1953.62,83.61,3.02,3,q14,
914,gpm854,1960.35,90.34,3.02,3,q14,
915,gpm648,1965.41,95.4,3.02,3,q14,
916,bnlg1647,1973.31,103.3,3.02,3,q14,
917,lim66,1994.81,124.8,3.03,3,q14,
918,umc2258,1997.81,127.8,3.03,3,q14,
919,bnlg1447,1999.41,129.4,3.03,3,q14,
920,umc2259,2001.71,131.7,3.03,3,q14,
921,mmp79,2009.31,139.3,3.03,3,q14,
922,gpm547a,2010.18,140.17,3.03,3,,
923,mmp186,2015.31,145.3,3.03,3,,
924,gpm580b,2017.5,147.49,,3,,
925,gpm423a,2017.7,147.69,3.03,3,,
926,asg48a,2022.71,152.7,3.04,3,,
927,bnl8.35a,2023.41,153.4,3.04,3,,
928,npi276a,2024.01,154,3.04,3,,
929,uaz159b,2027.31,157.3,3.04,3,,
930,umc1030,2029.01,159,3.04,3,,
931,gpm810a,2029.72,159.71,3.04,3,,
932,gpm420c,2031.65,161.64,3.04,3,,
933,umc1772,2033.51,163.5,3.04,3,,
934,npi446,2033.81,163.8,3.04,3,,
935,IDP697,2033.83,163.82,3.04,3,,
936,umc2000,2036.91,166.9,3.04,3,,
937,umc1608,2038.01,168,3.04,3,,
938,gpm320d,2040.36,170.35,3.04,3,,
939,umc2158,2046.61,176.6,3.04,3,,
940,umc1495,2047.41,177.4,3.04,3,,
941,nfc104c,2050.23,180.22,3.04,3,,
942,umc1392,2051.11,181.1,3.04,3,,
943,umc2033,2051.71,181.7,3.04,3,,
944,IDP1475,2053.06,183.05,3.04,3,,
945,IDP1455,2053.07,183.05,3.04,3,,
946,haf101,2053.51,183.49,3.04,3,,
947,psr754b,2056.02,186,3.04,3,,
948,umc1742,2059.02,189,3.04,3,,
949,umc2117a,2060.22,190.2,3.04,3,,
950,IDP2374,2060.23,190.2,3.04,3,,
951,bnlg1113,2060.83,190.8,3.04,3,,
952,IDP1460,2061.13,191.1,3.04,3,,
953,gpm780a,2061.63,191.6,3.04,3,,
954,IDP154,2062.05,192.02,3.04,3,,
955,bnlg1638,2063.13,193.1,3.04,3,,
956,gpm289a,2063.66,193.63,3.04,3,,
